,given_q_label,source_type,num
261,Q8.4-c_6_TEXT,table,16-17
263,Q17,table,16-17
264,Q18,table,16-17
272,Q12,table,21-22
274,Q3_3G2,table,21-22
275,Q1 Num,table,21-22
285,Q8.4-c_5,table,16-17
288,Q8.4-c_6,table,16-17
289,Q8.3-c_1,table,16-17
290,Q8.4-c_4,table,16-17
291,QIS,table,16-17
297,Q_URL,table,16-17
298,Q35,table,16-17
299,QIVA,table,16-17
302,Q8 into,table,16-17
303,Q8.1-1a,table,16-17
304,Q8.1-1b,table,16-17
305,Q8.1-1c_1,table,16-17
306,Q8.2-2a,table,16-17
307,Q8.2-2b,table,16-17
310,Q8.3-a_1,table,16-17
328,Q8.2-2c_1,table,16-17
329,Q8.3-a_2,table,16-17
330,Q8.4-c_3,table,16-17
331,Q8.4-b_1,table,16-17
332,Q8.4-a_1,table,16-17
333,Q8.4-a_2,table,16-17
334,Q8.4-a_3,table,16-17
335,Q8.4-a_4,table,16-17
336,Q8.4-a_5,table,16-17
337,Q8.4-a_6,table,16-17
338,Q8.4-a_6_TEXT,table,16-17
339,Q8.4-b_2,table,16-17
340,Q8.3-c_7,table,16-17
341,Q8.4-b_3,table,16-17
342,Q8.4-b_4,table,16-17
343,Q8.4-b_5,table,16-17
344,Q8.4-b_6,table,16-17
345,Q8.4-b_6_TEXT,table,16-17
346,Q8.4-c_1,table,16-17
347,Q8.4-c_2,table,16-17
348,Q8.3-c_8,table,16-17
349,Q8.3-c_6,table,16-17
350,Q8.3-a_3,table,16-17
351,Q8.3-b_3,table,16-17
352,Q8.3-a_4,table,16-17
353,Q8.3-a_5,table,16-17
354,Q8.3-a_6,table,16-17
355,Q8.3-a_7,table,16-17
356,Q8.3-a_8,table,16-17
357,Q8.3-b_1,table,16-17
358,Q8.3-b_2,table,16-17
359,Q8.3-b_4,table,16-17
360,Q8.3-c_5,table,16-17
361,Q8.3-b_5,table,16-17
362,Q8.3-b_6,table,16-17
363,Q8.3-b_7,table,16-17
364,Q8.3-b_8,table,16-17
365,Q8.3-c_2,table,16-17
366,Q8.3-c_3,table,16-17
367,Q8.3-c_4,table,16-17
